[2025-03-09T09:22:16.640+0000] {processor.py:186} INFO - Started process (PID=76) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-09T09:22:16.643+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-09T09:22:16.662+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:16.659+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-09T09:22:17.024+0000] {processor.py:925} INFO - DAG(s) 'conditional_dataset_and_time_based_timetable', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1', 'dataset_produces_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_1', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_and_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-09T09:22:17.122+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.121+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-09T09:22:17.198+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.197+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-05 01:00:00+00:00, run_after=2025-03-05 01:00:00+00:00
[2025-03-09T09:22:17.206+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.205+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-09T09:22:17.212+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.212+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-09T09:22:17.218+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.218+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-09T09:22:17.220+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.220+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-09T09:22:17.223+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.223+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-09T09:22:17.225+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.225+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-09T09:22:17.226+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.226+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-09T09:22:17.236+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.233+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-08 00:00:00+00:00, run_after=2025-03-09 00:00:00+00:00
[2025-03-09T09:22:17.241+0000] {logging_mixin.py:190} INFO - [2025-03-09T09:22:17.240+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-09T09:22:17.303+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.685 seconds
