[2025-03-15T14:38:43.399+0000] {processor.py:186} INFO - Started process (PID=70) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-15T14:38:43.400+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-15T14:38:43.403+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.402+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-15T14:38:43.495+0000] {processor.py:925} INFO - DAG(s) 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_produces_2', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-15T14:38:43.523+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.523+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-15T14:38:43.541+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.540+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-12 01:00:00+00:00, run_after=2025-03-12 01:00:00+00:00
[2025-03-15T14:38:43.543+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.542+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-15T14:38:43.543+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.543+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-15T14:38:43.544+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.544+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-15T14:38:43.544+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.544+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-15T14:38:43.545+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.545+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-15T14:38:43.547+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.547+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-15T14:38:43.548+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.548+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-15T14:38:43.550+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.550+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-14 00:00:00+00:00, run_after=2025-03-15 00:00:00+00:00
[2025-03-15T14:38:43.551+0000] {logging_mixin.py:190} INFO - [2025-03-15T14:38:43.551+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-15T14:38:43.574+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.178 seconds
