[2025-03-22T12:29:56.749+0000] {processor.py:186} INFO - Started process (PID=77) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-22T12:29:56.750+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-22T12:29:56.752+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:56.752+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-22T12:29:56.964+0000] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_1', 'dataset_produces_2', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-22T12:29:57.023+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.023+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-22T12:29:57.041+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.041+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-19 01:00:00+00:00, run_after=2025-03-19 01:00:00+00:00
[2025-03-22T12:29:57.044+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.044+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-22T12:29:57.045+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.045+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-22T12:29:57.046+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.046+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-22T12:29:57.048+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.048+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-22T12:29:57.048+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.048+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-22T12:29:57.049+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.049+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-22T12:29:57.055+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.055+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-22T12:29:57.058+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.058+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-21 00:00:00+00:00, run_after=2025-03-22 00:00:00+00:00
[2025-03-22T12:29:57.060+0000] {logging_mixin.py:190} INFO - [2025-03-22T12:29:57.060+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-22T12:29:57.100+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.355 seconds
