MEDCPIM158SFRBCLE;Median Consumer Price Index, Percent Change at Annual Rate, Monthly, Seasonally Adjusted
Frequency: Monthly;
observation_date;MEDCPIM158SFRBCLE
1983-01-01;5,01465339985201000
1983-02-01;4,95254511658214000
1983-03-01;3,61226055575943000
1983-04-01;4,82805415199952000
1983-05-01;3,76732629829308000
1983-06-01;2,44129775124315000
1983-07-01;3,69758219019019000
1983-08-01;4,89699036825662000
1983-09-01;4,83782787221898000
1983-10-01;4,70970672176305000
1983-11-01;4,88207173553306000
1983-12-01;3,62676569355638000
1984-01-01;4,85249045742944000
1984-02-01;4,63237742879932000
1984-03-01;3,92322616285670000
1984-04-01;4,47375381987558000
1984-05-01;3,39750480403012000
1984-06-01;4,54047640450119000
1984-07-01;4,70970672176305000
1984-08-01;4,69130811372347000
1984-09-01;4,47687654026121000
1984-10-01;3,49653411864965000
1984-11-01;2,60802524955723000
1984-12-01;3,52031390413785000
1985-01-01;3,07490272291309000
1985-02-01;5,60339750649217000
1985-03-01;4,71433813080060000
1985-04-01;4,49361632464027000
1985-05-01;3,30709306957033000
1985-06-01;4,93736852619913000
1985-07-01;2,43148344196247000
1985-08-01;3,45963563464555000
1985-09-01;3,44960801789345000
1985-10-01;3,46285448524264000
1985-11-01;5,39203871117875000
1985-12-01;3,08316960669681000
1986-01-01;4,42330037720973000
1986-02-01;3,17019109552263000
1986-03-01;4,38684814912311000
1986-04-01;4,16962440517514000
1986-05-01;2,24297330698615000
1986-06-01;3,39428781716422000
1986-07-01;4,01960626544133000
1986-08-01;3,28286363623527000
1986-09-01;4,00144311185120000
1986-10-01;4,17062103943193000
1986-11-01;4,60573723276012000
1986-12-01;3,92745273377464000
1987-01-01;5,35829784555726000
1987-02-01;3,33775806350500000
1987-03-01;3,79898557467320000
1987-04-01;4,73286577001573000
1987-05-01;4,50636041661250000
1987-06-01;2,86855746715575000
1987-07-01;4,18781448084542000
1987-08-01;3,31302760254406000
1987-09-01;5,22758140088220000
1987-10-01;3,78495509165797000
1987-11-01;3,32526844011021000
1987-12-01;2,84011303455471000
1988-01-01;3,31859138737620000
1988-02-01;2,90883516980707000
1988-03-01;4,41918005237509000
1988-04-01;4,73749799282637000
1988-05-01;3,41359123842682000
1988-06-01;4,67303747445387000
1988-07-01;4,57072671553373000
1988-08-01;5,27348496252884000
1988-09-01;5,00938206866559000
1988-10-01;4,27269773492314000
1988-11-01;2,95664547226016000
1988-12-01;3,95007987430633000
1989-01-01;4,68142177583140000
1989-02-01;5,20947642461538000
1989-03-01;5,03461040058517000
1989-04-01;4,87906302071213000
1989-05-01;5,38800927445156000
1989-06-01;3,85500115848694000
1989-07-01;5,81426024397749000
1989-08-01;2,85587368409490000
1989-09-01;3,47288290755019000
1989-10-01;5,16912809772758000
1989-11-01;4,16252376366020000
1989-12-01;3,77018137589580000
1990-01-01;5,21613993478622000
1990-02-01;4,98165039308320000
1990-03-01;5,25046788038710000
1990-04-01;5,31437382228312000
1990-05-01;3,96649380723344000
1990-06-01;5,62799931070790000
1990-07-01;5,30267168754286000
1990-08-01;5,66560606341413000
1990-09-01;2,81672270806546000
1990-10-01;4,55335048443914000
1990-11-01;3,61399611524087000
1990-12-01;5,05582611888307000
1991-01-01;5,56278448626730000
1991-02-01;4,35502417539060000
1991-03-01;3,65528536937658000
1991-04-01;3,37276123638892000
1991-05-01;4,46850763239142000
1991-06-01;2,90193641246452000
1991-07-01;4,44203031238106000
1991-08-01;3,08983246488028000
1991-09-01;4,06540007760270000
1991-10-01;2,33535013604969000
1991-11-01;4,29177716897127000
1991-12-01;2,64599695624381000
1992-01-01;1,73273035529145000
1992-02-01;2,58885958946806000
1992-03-01;3,78706590402491000
1992-04-01;2,42829426223232000
1992-05-01;2,80232154164044000
1992-06-01;4,28890893910334000
1992-07-01;1,77845400998218000
1992-08-01;2,11727265581099000
1992-09-01;1,86470958139751000
1992-10-01;3,78383780857443000
1992-11-01;3,27594189784477000
1992-12-01;1,87801390592812000
1993-01-01;3,44292384762575000
1993-02-01;2,29662586946326000
1993-03-01;1,70079593612731000
1993-04-01;4,09652033621579000
1993-05-01;2,97550405217233000
1993-06-01;2,54857377980864000
1993-07-01;1,68885336227953000
1993-08-01;2,52892755090932000
1993-09-01;2,33400191372162000
1993-10-01;3,69981531304131000
1993-11-01;3,63606471384181000
1993-12-01;2,81770747074883000
1994-01-01;2,71177185775588000
1994-02-01;3,60581430131750000
1994-03-01;2,17453638595826000
1994-04-01;2,51468598068958000
1994-05-01;2,90181334741006000
1994-06-01;2,89479196421165000
1994-07-01;2,06945308065785000
1994-08-01;3,51870377191157000
1994-09-01;3,74709367119364000
1994-10-01;2,22031958593512000
1994-11-01;4,39209057745666000
1994-12-01;1,21608593151488000
1995-01-01;4,18619483418634000
1995-02-01;3,33763452075089000
1995-03-01;3,26457127001425000
1995-04-01;3,65850979935234000
1995-05-01;3,55946257678259000
1995-06-01;2,09953665851426000
1995-07-01;3,03271532641816000
1995-08-01;2,94234945083716000
1995-09-01;3,26321195359760000
1995-10-01;3,22700732941383000
1995-11-01;2,66922899078137000
1995-12-01;2,57964673888200000
1996-01-01;3,77576772431056000
1996-02-01;2,61896071161241000
1996-03-01;3,11056477301865000
1996-04-01;3,13327571333888000
1996-05-01;2,93779005828414000
1996-06-01;2,51124866161314000
1996-07-01;3,19637246322710000
1996-08-01;2,32150099122970000
1996-09-01;3,13018982525812000
1996-10-01;2,88198180317933000
1996-11-01;3,49653411864965000
1996-12-01;2,20024121572453000
1997-01-01;3,02617905351408000
1997-02-01;2,34294951187677000
1997-03-01;2,95319457160124000
1997-04-01;2,98770834996940000
1997-05-01;2,63567345485551000
1997-06-01;2,49848264690866000
1997-07-01;2,02617633760405000
1997-08-01;2,31561868855912000
1997-09-01;2,53199694313149000
1997-10-01;2,48154492879276000
1997-11-01;2,70795967764159000
1997-12-01;3,06873423353000000
1998-01-01;2,42179277848711000
1998-02-01;2,87065094209522000
1998-03-01;2,44301532251741000
1998-04-01;2,27481874786530000
1998-05-01;3,03777216799082000
1998-06-01;3,12389474765322000
1998-07-01;3,21477716314102000
1998-08-01;3,37177160164337000
1998-09-01;3,16623971990180000
1998-10-01;3,33701606701728000
1998-11-01;2,19301878389770000
1998-12-01;1,99366872349309000
1999-01-01;1,54917204327125000
1999-02-01;1,74041061308616000
1999-03-01;1,84262079989537000
1999-04-01;2,67599038238358000
1999-05-01;1,71517747597234000
1999-06-01;1,18284460497857000
1999-07-01;2,39370686970688000
1999-08-01;2,36158242846010000
1999-09-01;2,48056311788833000
1999-10-01;1,69360586521141000
1999-11-01;2,18775527240926000
1999-12-01;2,60237344537455000
2000-01-01;3,85177112617523000
2000-02-01;2,78558392501993000
2000-03-01;3,41680877584016000
2000-04-01;2,27690126641777000
2000-05-01;2,85353384475986000
2000-06-01;3,14253450270141000
2000-07-01;3,43636335274047000
2000-08-01;2,87570061509343000
2000-09-01;3,06873423353000000
2000-10-01;2,70107326535745000
2000-11-01;2,65177399972001000
2000-12-01;3,29646102251591000
2001-01-01;4,07647783175740000
2001-02-01;2,83678895437489000
2001-03-01;2,99214660516078000
2001-04-01;3,14463308812682000
2001-05-01;3,50111619196587000
2001-06-01;3,52180031475502000
2001-07-01;2,43504110768855000
2001-08-01;3,80544284558475000
2001-09-01;2,78250757475318000
2001-10-01;4,18407658200821000
2001-11-01;3,44317141159673000
2001-12-01;2,47528603199942000
2002-01-01;2,76158967150149000
2002-02-01;3,38352407504046000
2002-03-01;2,87262142303710000
2002-04-01;2,67648214481753000
