,Symbol,Company Name,Market Cap,Stock Price,%Change,Revenue
0,AAPL,Apple Inc.,AAPL,Apple Inc.,-1.49%,391.04B
1,NVDA,NVIDIA Corporation,NVDA,NVIDIA Corporation,-2.62%,113.27B
2,MSFT,Microsoft Corporation,MSFT,Microsoft Corporation,-1.84%,254.19B
3,GOOG,Alphabet Inc.,GOOG,Alphabet Inc.,-1.59%,339.86B
4,GOOGL,Alphabet Inc.,GOOGL,Alphabet Inc.,-1.61%,339.86B
5,AMZN,"Amazon.com, Inc.",AMZN,"Amazon.com, Inc.",-1.86%,620.13B
6,META,"Meta Platforms, Inc.",META,"Meta Platforms, Inc.",-1.29%,156.23B
7,TSLA,"Tesla, Inc.",TSLA,"Tesla, Inc.",-5.28%,97.15B
8,AVGO,Broadcom Inc.,AVGO,Broadcom Inc.,-2.03%,51.57B
9,BRK.B,Berkshire Hathaway Inc.,BRK.B,Berkshire Hathaway Inc.,-0.45%,369.89B
10,WMT,Walmart Inc.,WMT,Walmart Inc.,-1.40%,673.82B
11,LLY,Eli Lilly and Company,LLY,Eli Lilly and Company,-1.43%,40.86B
12,JPM,JPMorgan Chase & Co.,JPM,JPMorgan Chase & Co.,-0.66%,162.15B
13,V,Visa Inc.,V,Visa Inc.,-0.58%,35.93B
14,MA,Mastercard Incorporated,MA,Mastercard Incorporated,-0.54%,27.23B
15,ORCL,Oracle Corporation,ORCL,Oracle Corporation,-1.79%,54.93B
16,XOM,Exxon Mobil Corporation,XOM,Exxon Mobil Corporation,0.33%,343.82B
17,UNH,UnitedHealth Group Incorporated,UNH,UnitedHealth Group Incorporated,-0.35%,393.90B
18,COST,Costco Wholesale Corporation,COST,Costco Wholesale Corporation,-1.78%,258.81B
19,PG,The Procter & Gamble Company,PG,The Procter & Gamble Company,-0.16%,83.91B
20,HD,"The Home Depot, Inc.",HD,"The Home Depot, Inc.",-0.46%,154.60B
21,NFLX,"Netflix, Inc.",NFLX,"Netflix, Inc.",-2.10%,37.59B
22,JNJ,Johnson & Johnson,JNJ,Johnson & Johnson,-0.22%,87.70B
23,BAC,Bank of America Corporation,BAC,Bank of America Corporation,-0.47%,94.63B
24,CRM,"Salesforce, Inc.",CRM,"Salesforce, Inc.",-1.16%,37.19B
25,ABBV,AbbVie Inc.,ABBV,AbbVie Inc.,-0.56%,55.53B
26,KO,The Coca-Cola Company,KO,The Coca-Cola Company,0.03%,46.37B
27,CVX,Chevron Corporation,CVX,Chevron Corporation,0.11%,191.69B
28,TMUS,"T-Mobile US, Inc.",TMUS,"T-Mobile US, Inc.",-0.46%,80.01B
29,MRK,"Merck & Co., Inc.",MRK,"Merck & Co., Inc.",-0.30%,63.17B
30,WFC,Wells Fargo & Company,WFC,Wells Fargo & Company,-0.75%,77.88B
31,CSCO,"Cisco Systems, Inc.",CSCO,"Cisco Systems, Inc.",-0.84%,52.98B
32,ACN,Accenture plc,ACN,Accenture plc,-1.20%,66.36B
33,NOW,"ServiceNow, Inc.",NOW,"ServiceNow, Inc.",-2.03%,10.46B
34,AXP,American Express Company,AXP,American Express Company,-0.79%,59.24B
35,PEP,"PepsiCo, Inc.",PEP,"PepsiCo, Inc.",0.41%,91.92B
36,BX,Blackstone Inc.,BX,Blackstone Inc.,-1.55%,11.14B
37,MCD,McDonald's Corporation,MCD,McDonald's Corporation,-0.32%,25.94B
38,IBM,International Business Machines Corporation,IBM,International Business Machines Corporation,-0.90%,62.58B
39,MS,Morgan Stanley,MS,Morgan Stanley,-0.93%,58.28B
40,AMD,"Advanced Micro Devices, Inc.",AMD,"Advanced Micro Devices, Inc.",0.17%,24.30B
41,DIS,The Walt Disney Company,DIS,The Walt Disney Company,-0.85%,91.36B
42,LIN,Linde plc,LIN,Linde plc,-0.09%,33.03B
43,TMO,Thermo Fisher Scientific Inc.,TMO,Thermo Fisher Scientific Inc.,-0.16%,42.37B
44,ABT,Abbott Laboratories,ABT,Abbott Laboratories,-0.17%,41.22B
45,ADBE,Adobe Inc.,ADBE,Adobe Inc.,-1.13%,21.51B
46,ISRG,"Intuitive Surgical, Inc.",ISRG,"Intuitive Surgical, Inc.",-0.96%,7.87B
47,GS,"The Goldman Sachs Group, Inc.",GS,"The Goldman Sachs Group, Inc.",-0.76%,49.39B
48,PM,Philip Morris International Inc.,PM,Philip Morris International Inc.,-0.22%,37.22B
49,GE,General Electric Company,GE,General Electric Company,-1.13%,69.95B
