category,base_url,acceleration,apikey,fastdmatype,fastkperiod,fastlimit,fastperiod,function,horizon,interval,maturity,matype,maximum,nbdevdn,nbdevup,series_type,symbol,time_period,timeperiod1
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_INTRADAY,,5min,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_DAILY,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_DAILY_ADJUSTED,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_WEEKLY,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_WEEKLY_ADJUSTED,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_MONTHLY,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,TIME_SERIES_MONTHLY_ADJUSTED,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,GLOBAL_QUOTE,,,,,,,,,IBM,,
Core Stock APIs,https://www.alphavantage.co/query?,,demo,,,,,REALTIME_BULK_QUOTES,,,,,,,,,"MSFT,AAPL,IBM",,
Options Data APIs,https://www.alphavantage.co/query?,,demo,,,,,REALTIME_OPTIONS,,,,,,,,,IBM,,
Options Data APIs,https://www.alphavantage.co/query?,,demo,,,,,HISTORICAL_OPTIONS,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,OVERVIEW,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,ETF_PROFILE,,,,,,,,,QQQ,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,DIVIDENDS,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,SPLITS,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,INCOME_STATEMENT,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,BALANCE_SHEET,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,CASH_FLOW,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,SHARES_OUTSTANDING,,,,,,,,,MSFT,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,EARNINGS,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,EARNINGS_ESTIMATES,,,,,,,,,IBM,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,EARNINGS_CALENDAR,3month,,,,,,,,,,
Fundamental Data,https://www.alphavantage.co/query?,,demo,,,,,IPO_CALENDAR,,,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,WTI,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,BRENT,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,NATURAL_GAS,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,COPPER,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,ALUMINUM,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,WHEAT,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,CORN,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,COTTON,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,SUGAR,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,COFFEE,,monthly,,,,,,,,,
Commodities,https://www.alphavantage.co/query?,,demo,,,,,ALL_COMMODITIES,,monthly,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,REAL_GDP,,annual,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,REAL_GDP_PER_CAPITA,,,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,TREASURY_YIELD,,monthly,10year,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,FEDERAL_FUNDS_RATE,,monthly,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,CPI,,monthly,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,INFLATION,,,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,RETAIL_SALES,,,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,DURABLES,,,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,UNEMPLOYMENT,,,,,,,,,,,
Economic Indicators,https://www.alphavantage.co/query?,,demo,,,,,NONFARM_PAYROLL,,,,,,,,,,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,SMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,EMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,WMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,DEMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,TEMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,TRIMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,KAMA,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,0.02,,MAMA,,daily,,,,,,close,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,VWAP,,15min,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,T3,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MACD,,daily,,,,,,open,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MACDEXT,,daily,,,,,,open,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,STOCH,,daily,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,STOCHF,,daily,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,RSI,,weekly,,,,,,open,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,1,6,,,STOCHRSI,,daily,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,WILLR,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,ADX,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,ADXR,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,10,APO,,daily,,1,,,,close,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,10,PPO,,daily,,1,,,,close,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MOM,,daily,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,BOP,,daily,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,CCI,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,CMO,,weekly,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,ROC,,weekly,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,ROCR,,daily,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,AROON,,daily,,,,,,,IBM,14,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,AROONOSC,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MFI,,weekly,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,TRIX,,daily,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,ULTOSC,,daily,,,,,,,IBM,,8
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,DX,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MINUS_DI,,weekly,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,PLUS_DI,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MINUS_DM,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,PLUS_DM,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,BBANDS,,weekly,,,,3,3,close,IBM,5,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MIDPOINT,,daily,,,,,,close,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,MIDPRICE,,daily,,,,,,,IBM,10,
Technical Indicators,https://www.alphavantage.co/query?,0.05,demo,,,,,SAR,,weekly,,,0.25,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,TRANGE,,daily,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,ATR,,daily,,,,,,,IBM,14,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,NATR,,weekly,,,,,,,IBM,14,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,AD,,daily,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,5,ADOSC,,daily,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,OBV,,weekly,,,,,,,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,HT_TRENDLINE,,daily,,,,,,close,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,HT_SINE,,daily,,,,,,close,IBM,,
Technical Indicators,https://www.alphavantage.co/query?,,demo,,,,,HT_TRENDMODE,,weekly,,,,,,close,IBM,,
