ticker,company_name,sector,date_added,cik,sub_industry,headquarters
FOX,Fox Corporation(Class B),Communication Services,2019-03-19,0001754301,Broadcasting,"New York City, New York"
AMP,Ameriprise Financial,Financials,2005-10-03,0000820027,Asset Management & Custody Banks,"Minneapolis, Minnesota"
ETR,Entergy,Utilities,1957-03-04,0000065984,Electric Utilities,"New Orleans, Louisiana"
ABBV,AbbVie,Health Care,2012-12-31,0001551152,Biotechnology,"North Chicago, Illinois"
PFG,Principal Financial Group,Financials,2002-07-22,0001126328,Life & Health Insurance,"Des Moines, Iowa"
TDG,TransDigm Group,Industrials,2016-06-03,0001260221,Aerospace & Defense,"Cleveland, Ohio"
NVDA,Nvidia,Information Technology,2001-11-30,0001045810,Semiconductors,"Santa Clara, California"
ELV,Elevance Health,Health Care,2002-07-25,0001156039,Managed Health Care,"Indianapolis, Indiana"
IT,Gartner,Information Technology,2017-04-05,0000749251,IT Consulting & Other Services,"Stamford, Connecticut"
PAYC,Paycom,Industrials,2020-01-28,0001590955,Human Resource & Employment Services,"Oklahoma City, Oklahoma"
ICE,Intercontinental Exchange,Financials,2007-09-26,0001571949,Financial Exchanges & Data,"Atlanta, Georgia"
CB,Chubb Limited,Financials,2010-07-15,0000896159,Property & Casualty Insurance,"Zurich, Switzerland"
HCA,HCA Healthcare,Health Care,2015-01-27,0000860730,Health Care Facilities,"Nashville, Tennessee"
INCY,Incyte,Health Care,2017-02-28,0000879169,Biotechnology,"Wilmington, Delaware"
ORLY,O’Reilly Automotive,Consumer Discretionary,2009-03-27,0000898173,Automotive Retail,"Springfield, Missouri"
AJG,Arthur J. Gallagher & Co.,Financials,2016-05-31,0000354190,Insurance Brokers,"Rolling Meadows, Illinois"
IPG,Interpublic Group of Companies (The),Communication Services,1992-10-01,0000051644,Advertising,"New York City, New York"
A,Agilent Technologies,Health Care,2000-06-05,0001090872,Life Sciences Tools & Services,"Santa Clara, California"
ALB,Albemarle Corporation,Materials,2016-07-01,0000915913,Specialty Chemicals,"Charlotte, North Carolina"
VRTX,Vertex Pharmaceuticals,Health Care,2013-09-23,0000875320,Biotechnology,"Boston, Massachusetts"
SRE,Sempra,Utilities,2017-03-17,0001032208,Multi-Utilities,"San Diego, California"
LII,Lennox International,Industrials,2024-12-23,0001069202,Building Products,"Richardson, Texas"
GNRC,Generac,Industrials,2021-03-22,0001474735,Electrical Components & Equipment,"Waukesha, Wisconsin"
FANG,Diamondback Energy,Energy,2018-12-03,0001539838,Oil & Gas Exploration & Production,"Midland, Texas"
CINF,Cincinnati Financial,Financials,1997-12-18,0000020286,Property & Casualty Insurance,"Fairfield, Ohio"
MDLZ,Mondelez International,Consumer Staples,2012-10-02,0001103982,Packaged Foods & Meats,"Chicago, Illinois"
RSG,Republic Services,Industrials,2008-12-05,0001060391,Environmental & Facilities Services,"Phoenix, Arizona"
MTB,M&T Bank,Financials,2004-02-23,0000036270,Regional Banks,"Buffalo, New York"
HON,Honeywell,Industrials,1957-03-04,0000773840,Industrial Conglomerates,"Charlotte, North Carolina"
FTNT,Fortinet,Information Technology,2018-10-11,0001262039,Systems Software,"Sunnyvale, California"
WRB,W. R. Berkley Corporation,Financials,2019-12-05,0000011544,Property & Casualty Insurance,"Greenwich, Connecticut"
TEL,TE Connectivity,Information Technology,2011-10-17,0001385157,Electronic Manufacturing Services,"Galway, Ireland"
WBD,Warner Bros. Discovery,Communication Services,2022-04-11,0001437107,Broadcasting,"New York City, New York"
UNH,UnitedHealth Group,Health Care,1994-07-01,0000731766,Managed Health Care,"Eden Prairie, Minnesota"
EXC,Exelon,Utilities,1957-03-04,0001109357,Electric Utilities,"Chicago, Illinois"
DASH,DoorDash,Consumer Discretionary,2025-03-24,0001792789,Specialized Consumer Services,"San Francisco, California"
PPL,PPL Corporation,Utilities,2001-10-01,0000922224,Electric Utilities,"Allentown, Pennsylvania"
HAS,Hasbro,Consumer Discretionary,1984-09-30,0000046080,Leisure Products,"Pawtucket, Rhode Island"
DD,DuPont,Materials,2019-06-03,0001666700,Specialty Chemicals,"Wilmington, Delaware"
BA,Boeing,Industrials,1957-03-04,0000012927,Aerospace & Defense,"Arlington, Virginia"
COO,Cooper Companies (The),Health Care,2016-09-23,0000711404,Health Care Supplies,"San Ramon, California"
HOOD,Robinhood Markets,Financials,2025-09-22,0001783879,Investment Banking & Brokerage,"Menlo Park, California"
GRMN,Garmin,Consumer Discretionary,2012-12-12,0001121788,Consumer Electronics,"Schaffhausen, Switzerland"
GD,General Dynamics,Industrials,1957-03-04,0000040533,Aerospace & Defense,"Reston, Virginia"
LULU,Lululemon Athletica,Consumer Discretionary,2023-10-18,0001397187,"Apparel, Accessories & Luxury Goods","Vancouver, Canada"
Q,Qnity Electronics,Information Technology,2025-11-03,0002058873,Semiconductor Materials & Equipment,"Wilmington, Delaware"
SYK,Stryker Corporation,Health Care,2000-12-12,0000310764,Health Care Equipment,"Kalamazoo, Michigan"
BR,Broadridge Financial Solutions,Industrials,2018-06-18,0001383312,Data Processing & Outsourced Services,"Lake Success, New York"
CARR,Carrier Global,Industrials,2020-04-03,0001783180,Building Products,"Palm Beach Gardens, Florida"
AMCR,Amcor,Materials,2019-06-07,0001748790,Paper & Plastic Packaging Products & Materials,"Warmley,Bristol, United Kingdom"
KKR,KKR & Co.,Financials,2024-06-24,0001404912,Asset Management & Custody Banks,"New York City, New York"
CEG,Constellation Energy,Utilities,2022-02-02,0001868275,Electric Utilities,"Baltimore, Maryland"
FICO,Fair Isaac,Information Technology,2023-03-20,0000814547,Application Software,"Bozeman, Montana"
PM,Philip Morris International,Consumer Staples,2008-03-31,0001413329,Tobacco,"New York City, New York"
CRM,Salesforce,Information Technology,2008-09-15,0001108524,Application Software,"San Francisco, California"
ADBE,Adobe Inc.,Information Technology,1997-05-05,0000796343,Application Software,"San Jose, California"
WBA,Walgreens Boots Alliance,Consumer Staples,1979-12-31,0001618921,Drug Retail,"Deerfield, Illinois"
DGX,Quest Diagnostics,Health Care,2002-12-12,0001022079,Health Care Services,"Secaucus, New Jersey"
PCG,PG&E Corporation,Utilities,2022-10-03,0001004980,Multi-Utilities,"Oakland, California"
PWR,Quanta Services,Industrials,2009-07-01,0001050915,Construction & Engineering,"Houston, Texas"
CMI,Cummins,Industrials,1965-03-31,0000026172,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana"
CNC,Centene Corporation,Health Care,2016-03-30,0001071739,Managed Health Care,"St. Louis, Missouri"
